campaign_id,campaign_name,campaign_type,objective,platform,target_segment,target_region,start_date,end_date,duration_days,budget_usd,spent_usd,impressions,clicks,ctr_pct,leads_generated,conversions
CAMP-00016,Diverse contextually-based framework,Direct Mail,Upsell,HubSpot,SMB,Central,2026-04-28,2026-07-24,87,40260.85,36793.79,53998,5584,10.3411,48,34
CAMP-00017,Enhanced stable open system,Direct Mail,Upsell,HubSpot,SMB,Central,2023-08-19,2023-10-29,71,44305.07,43862.89,11447,5572,48.6765,229,37
CAMP-00018,Automated bottom-line Graphical User Interface,Trade Show,Brand Awareness,Google Ads,Enterprise,South,2025-06-29,2025-08-12,44,46426.27,39653.08,345134,26248,7.6052,417,36
CAMP-00019,Polarized reciprocal policy,Email,Upsell,Google Ads,Enterprise,East,2026-07-31,2026-09-21,52,26336.34,25512.61,492243,33316,6.7682,119,73
CAMP-00020,Diverse multi-state support,Trade Show,Lead Generation,Facebook,SMB,South,2025-03-28,2025-05-07,40,27234.7,22043.6,111565,11885,10.653,163,121
CAMP-00021,Decentralized content-based portal,Paid Search,Brand Awareness,HubSpot,SMB,South,2024-05-12,2024-05-30,18,38348.17,35816.88,1271068,32847,2.5842,478,80
CAMP-00022,Ameliorated multi-state migration,Direct Mail,Lead Generation,Facebook,Enterprise,Central,2023-09-09,2023-11-26,78,45238.68,30545.99,1437759,44027,3.0622,371,200
CAMP-00023,Extended high-level budgetary management,Paid Search,Product Launch,LinkedIn,Mid-Market,Central,2025-11-18,2026-01-09,52,11852.19,7810.08,274088,38174,13.9276,463,404
CAMP-00024,Assimilated fresh-thinking challenge,Email,Product Launch,HubSpot,SMB,South,2026-04-17,2026-07-15,89,12781.52,10784.45,393183,21943,5.5809,345,283
CAMP-00025,Upgradable system-worthy capacity,Webinar,Upsell,Google Ads,SMB,North,2024-04-04,2024-05-04,30,14996.07,9336.31,413243,18649,4.5128,309,215
CAMP-00026,Polarized dedicated array,Trade Show,Customer Retention,LinkedIn,Mid-Market,West,2024-05-27,2024-08-20,85,21750.76,15939.44,49241,29194,59.288,261,159
CAMP-00027,Reactive solution-oriented frame,Email,Upsell,HubSpot,Enterprise,North,2024-08-23,2024-09-19,27,49070.7,38166.49,157880,26748,16.942,389,124
CAMP-00028,Proactive intermediate migration,Webinar,Product Launch,Google Ads,SMB,South,2024-12-31,2025-03-16,75,20306.46,19257.51,164212,28667,17.4573,116,78
CAMP-00029,Ergonomic eco-centric conglomeration,Trade Show,Brand Awareness,Facebook,SMB,Central,2026-06-09,2026-09-01,84,28999.64,23560.97,19744,4940,25.0203,319,32
CAMP-00030,Universal even-keeled infrastructure,Webinar,Product Launch,LinkedIn,Mid-Market,West,2024-03-11,2024-06-07,88,40835.74,44890.3,35138,7175,20.4195,447,104
CAMP-00031,Visionary optimizing function,Social Media,Customer Retention,Facebook,Mid-Market,South,2023-11-28,2024-01-05,38,2667.65,1940.07,67879,21887,32.2441,284,261
CAMP-00032,Expanded uniform matrix,Paid Search,Lead Generation,Salesforce,SMB,South,2024-02-05,2024-03-01,25,13478.05,12239.95,315962,12764,4.0397,219,81
CAMP-00033,Organized interactive policy,Social Media,Customer Retention,HubSpot,SMB,Central,2024-11-24,2025-01-21,58,42333.83,35349.73,319510,49089,15.3638,379,247
CAMP-00034,Intuitive regional benchmark,Social Media,Lead Generation,Facebook,Enterprise,South,2025-11-03,2026-01-18,76,31709.1,27693.21,604285,26360,4.3622,489,464
CAMP-00035,Optimized dedicated open system,Webinar,Product Launch,Facebook,SMB,South,2025-06-02,2025-07-13,41,20978.12,21479.4,215174,21494,9.9891,53,50
CAMP-00036,Self-enabling asymmetric knowledge user,Paid Search,Upsell,Twitter,SMB,North,2024-08-28,2024-11-21,85,33326.81,30284.18,961699,38226,3.9748,468,127
CAMP-00037,Automated multimedia extranet,Trade Show,Brand Awareness,LinkedIn,SMB,South,2024-02-07,2024-02-25,18,16702.67,14935.13,419054,40319,9.6214,160,12
CAMP-00038,Implemented real-time project,Email,Product Launch,Marketo,SMB,East,2025-05-11,2025-07-03,53,12696.63,13513.96,38626,7531,19.4972,455,355
CAMP-00039,Progressive heuristic infrastructure,Social Media,Product Launch,Marketo,SMB,West,2026-06-13,2026-07-19,36,41709.94,36242.13,178504,13675,7.6609,394,284
CAMP-00040,Enterprise-wide fresh-thinking interface,Email,Upsell,Marketo,SMB,Central,2023-09-09,2023-09-28,19,25976.06,18961.29,38360,31918,83.2065,190,153
CAMP-00041,Multi-channeled dynamic archive,Webinar,Customer Retention,Salesforce,SMB,Central,2025-12-21,2026-02-04,45,40446.18,30308.62,52504,3177,6.051,497,297
CAMP-00042,Multi-layered holistic circuit,Influencer,Customer Retention,Facebook,Mid-Market,North,2024-03-30,2024-06-23,85,22027.95,18696.26,21042,17279,82.1167,25,10
CAMP-00043,Decentralized 24/7 functionalities,Social Media,Upsell,Salesforce,SMB,East,2025-12-08,2026-02-15,69,37935.18,29208.51,136046,20319,14.9354,456,14
CAMP-00044,Universal full-range data-warehouse,Influencer,Product Launch,Facebook,SMB,North,2025-08-30,2025-10-30,61,6977.36,7176.34,121725,25086,20.6087,189,66
CAMP-00045,Inverse discrete open architecture,Direct Mail,Product Launch,Google Ads,Enterprise,East,2024-12-29,2025-01-11,13,5865.74,5374.85,15002,3619,24.1235,309,177
CAMP-00046,Horizontal real-time data-warehouse,Webinar,Customer Retention,Twitter,Enterprise,North,2023-10-19,2023-11-17,29,8031.71,5546.07,1408532,31450,2.2328,390,231
CAMP-00047,Customer-focused next generation focus group,Influencer,Upsell,Salesforce,Mid-Market,Central,2025-03-07,2025-05-31,85,3832.95,2352.95,31060,6648,21.4037,40,11
CAMP-00048,Synchronized asynchronous orchestration,Webinar,Product Launch,HubSpot,Enterprise,West,2025-09-30,2025-12-12,73,32151.18,35259.77,869329,38688,4.4503,3,0
CAMP-00049,Operative systemic system engine,Social Media,Product Launch,Salesforce,Mid-Market,West,2026-04-11,2026-04-28,17,9058.01,8131.94,15610,992,6.3549,482,183
CAMP-00050,Intuitive dedicated customer loyalty,Paid Search,Brand Awareness,Marketo,Mid-Market,North,2024-11-26,2025-02-22,88,40693.46,25965.27,38256,3604,9.4207,373,56
CAMP-00051,Proactive modular analyzer,Trade Show,Customer Retention,Salesforce,SMB,West,2023-10-01,2023-11-06,36,21789.14,20660.84,155885,34984,22.4422,373,197
CAMP-00052,Operative bottom-line capability,Influencer,Brand Awareness,HubSpot,Mid-Market,North,2026-07-27,2026-09-19,54,49178.35,52817.25,1501048,44123,2.9395,89,39
CAMP-00053,Right-sized fresh-thinking parallelism,Direct Mail,Customer Retention,Facebook,SMB,South,2024-12-15,2025-02-06,53,39947.34,43541.57,348573,28230,8.0987,137,12
CAMP-00054,Re-engineered 3rdgeneration forecast,Paid Search,Upsell,HubSpot,SMB,South,2024-09-30,2024-11-19,50,37118.49,38415.23,130080,12784,9.8278,432,39
CAMP-00055,Re-engineered 24hour Local Area Network,Direct Mail,Customer Retention,Marketo,SMB,West,2023-08-27,2023-11-21,86,36805.27,40178.28,153539,26192,17.0589,230,112
CAMP-00056,Open-architected 5thgeneration monitoring,Webinar,Customer Retention,Marketo,Enterprise,Central,2024-06-14,2024-08-22,69,8901.19,6193.57,121308,44997,37.0932,426,284
CAMP-00057,Balanced global project,Direct Mail,Brand Awareness,LinkedIn,Mid-Market,Central,2026-05-09,2026-05-23,14,40159.21,25446.31,24391,2833,11.6149,401,198
CAMP-00058,Phased bandwidth-monitored website,Paid Search,Lead Generation,LinkedIn,SMB,East,2023-08-25,2023-09-30,36,16587.49,14475.23,135469,15136,11.173,424,74
CAMP-00059,Innovative even-keeled functionalities,Paid Search,Brand Awareness,Facebook,Mid-Market,North,2024-11-04,2025-01-15,72,3921.62,4063.95,256611,33797,13.1705,225,121
CAMP-00060,Open-architected attitude-oriented open architecture,Email,Product Launch,HubSpot,SMB,West,2025-11-10,2026-01-02,53,13451.81,10946.39,757042,35167,4.6453,422,272
CAMP-00061,Proactive reciprocal application,Trade Show,Product Launch,HubSpot,SMB,North,2025-12-03,2026-02-05,64,35376.55,30998.19,116257,39143,33.6694,7,5
CAMP-00062,Total logistical methodology,Influencer,Upsell,LinkedIn,Mid-Market,North,2024-10-11,2024-12-25,75,36899.39,36971.44,359748,34682,9.6406,290,217
CAMP-00063,Decentralized holistic process improvement,Paid Search,Product Launch,Google Ads,Enterprise,East,2026-02-22,2026-05-01,68,29149.37,19425.79,317973,29552,9.2939,245,26
CAMP-00064,Face-to-face actuating access,Direct Mail,Brand Awareness,HubSpot,Mid-Market,West,2023-11-28,2024-02-19,83,27252.13,29480.09,154710,8763,5.6641,363,129
CAMP-00065,Inverse system-worthy success,Webinar,Lead Generation,Twitter,Enterprise,Central,2024-01-06,2024-03-19,73,12155.56,10745.6,1195256,42440,3.5507,52,9
CAMP-00066,Down-sized background core,Social Media,Lead Generation,LinkedIn,Enterprise,East,2024-11-27,2024-12-30,33,49178.57,42221.8,212539,36606,17.2232,263,25
CAMP-00067,Multi-layered national ability,Webinar,Lead Generation,LinkedIn,Enterprise,Central,2025-10-08,2025-11-07,30,11885.96,12414.67,480443,25392,5.2851,8,1
CAMP-00068,Business-focused empowering toolset,Email,Upsell,LinkedIn,Mid-Market,West,2026-05-26,2026-08-21,87,30044.89,31063.95,302178,46949,15.5369,470,410
CAMP-00069,Business-focused exuding archive,Social Media,Lead Generation,HubSpot,SMB,East,2023-09-24,2023-11-17,54,19493.94,12602.25,359785,19063,5.2984,31,15
CAMP-00070,Team-oriented reciprocal utilization,Webinar,Upsell,Facebook,SMB,East,2024-05-22,2024-07-29,68,14180.0,14059.74,175056,12878,7.3565,392,281
CAMP-00071,Future-proofed tangible concept,Paid Search,Customer Retention,Facebook,SMB,Central,2026-01-13,2026-01-24,11,680.67,657.98,28433,26594,93.5322,8,7
CAMP-00072,Reduced logistical capability,Paid Search,Lead Generation,LinkedIn,Enterprise,South,2026-05-16,2026-07-10,55,22157.98,14120.54,929076,43907,4.7259,10,0
CAMP-00073,Digitized web-enabled paradigm,Influencer,Product Launch,HubSpot,Mid-Market,East,2023-12-24,2024-02-16,54,15305.0,9845.26,15663,14832,94.6945,46,45
CAMP-00074,Open-source scalable knowledge user,Trade Show,Lead Generation,Facebook,SMB,West,2026-04-06,2026-06-03,58,30898.87,32789.8,167910,30864,18.3813,302,137
CAMP-00075,Programmable multi-tasking encoding,Trade Show,Product Launch,Google Ads,Mid-Market,Central,2025-08-08,2025-10-09,62,21274.68,14916.76,1231708,47653,3.8689,283,72
CAMP-00076,Switchable mobile focus group,Email,Product Launch,HubSpot,SMB,South,2025-05-01,2025-07-05,65,39353.13,34000.21,1220650,34181,2.8002,276,221
CAMP-00077,Upgradable mission-critical definition,Trade Show,Product Launch,Twitter,Enterprise,Central,2024-07-25,2024-10-18,85,4096.07,2520.38,105190,23890,22.7113,411,302
CAMP-00078,Visionary explicit structure,Trade Show,Upsell,HubSpot,Enterprise,South,2023-11-16,2023-12-23,37,6761.96,7246.35,685309,23595,3.443,67,55
CAMP-00079,Realigned dynamic protocol,Social Media,Lead Generation,Salesforce,Mid-Market,North,2023-11-06,2023-11-14,8,15484.92,9899.97,1017481,37562,3.6917,437,2
CAMP-00080,Expanded system-worthy archive,Direct Mail,Brand Awareness,Twitter,Mid-Market,South,2025-07-16,2025-09-03,49,25769.59,27979.53,113751,19157,16.8412,60,29
CAMP-00081,Proactive analyzing data-warehouse,Webinar,Brand Awareness,Twitter,Mid-Market,West,2023-10-29,2024-01-21,84,9651.47,6151.02,1281958,39982,3.1188,277,74
CAMP-00082,Extended maximized info-mediaries,Paid Search,Customer Retention,Facebook,Enterprise,East,2023-08-22,2023-09-18,27,7475.21,8009.78,214913,29543,13.7465,171,131
CAMP-00083,Customer-focused global database,Social Media,Lead Generation,Salesforce,SMB,West,2024-02-29,2024-05-16,77,17657.27,13186.88,551370,21003,3.8092,248,213
CAMP-00084,Virtual multi-tasking migration,Direct Mail,Product Launch,Google Ads,SMB,North,2026-01-15,2026-02-07,23,42305.92,33150.26,2321,1283,55.2779,425,0
CAMP-00085,Virtual fault-tolerant strategy,Trade Show,Brand Awareness,HubSpot,SMB,North,2026-03-05,2026-05-03,59,14117.89,8843.74,204601,18348,8.9677,87,27
CAMP-00086,Distributed motivating benchmark,Webinar,Brand Awareness,LinkedIn,Enterprise,South,2024-12-17,2025-01-28,42,750.31,483.56,797153,45244,5.6757,266,264
CAMP-00087,Face-to-face high-level info-mediaries,Email,Customer Retention,HubSpot,SMB,East,2026-05-04,2026-05-20,16,19779.56,21104.4,2668,509,19.078,473,406
CAMP-00088,Secured multimedia customer loyalty,Paid Search,Brand Awareness,Twitter,Enterprise,East,2026-07-10,2026-07-28,18,6250.35,4912.15,52436,7257,13.8397,0,0
CAMP-00089,Ergonomic asymmetric focus group,Email,Lead Generation,Twitter,Enterprise,South,2025-12-09,2026-01-31,53,11756.93,11856.51,142075,37423,26.3403,406,225
CAMP-00090,Synergized fault-tolerant orchestration,Trade Show,Upsell,Salesforce,Mid-Market,Central,2024-11-13,2025-02-03,82,16038.55,9741.06,227681,46018,20.2116,489,247
CAMP-00091,Digitized maximized benchmark,Trade Show,Upsell,HubSpot,Enterprise,South,2025-07-17,2025-09-03,48,35106.78,25048.75,900855,34303,3.8078,330,72
CAMP-00092,Front-line 3rdgeneration knowledgebase,Influencer,Upsell,Google Ads,Mid-Market,West,2025-10-31,2025-12-21,51,7009.5,5106.74,190877,27193,14.2463,489,241
CAMP-00093,Assimilated methodical protocol,Paid Search,Lead Generation,Google Ads,Mid-Market,Central,2024-02-28,2024-04-14,46,40641.37,26064.17,13182,4734,35.9126,461,394
CAMP-00094,Multi-channeled empowering capability,Paid Search,Upsell,Salesforce,Enterprise,North,2025-03-11,2025-06-04,85,20462.44,19281.78,243640,14081,5.7794,35,29
CAMP-00095,Configurable heuristic Internet solution,Webinar,Brand Awareness,HubSpot,SMB,West,2026-05-18,2026-06-13,26,21323.5,13438.87,141164,28635,20.2849,441,139
CAMP-00096,Object-based motivating Internet solution,Webinar,Customer Retention,Twitter,Enterprise,Central,2024-03-27,2024-05-05,39,44604.29,47524.73,131150,11691,8.9142,257,99
CAMP-00097,Business-focused leadingedge flexibility,Paid Search,Product Launch,HubSpot,Mid-Market,North,2025-02-14,2025-02-27,13,16876.99,10574.05,252575,46282,18.3241,417,227
CAMP-00098,Business-focused solution-oriented implementation,Trade Show,Customer Retention,Salesforce,Mid-Market,East,2024-09-15,2024-10-02,17,18528.99,14796.01,1851,737,39.8163,105,72
CAMP-00099,Optimized content-based frame,Email,Lead Generation,LinkedIn,Mid-Market,Central,2025-10-17,2025-10-29,12,24922.53,23674.37,161885,39427,24.3549,374,14
CAMP-00100,Enhanced radical focus group,Direct Mail,Product Launch,LinkedIn,SMB,West,2024-03-02,2024-04-27,56,5190.36,5673.79,486238,19428,3.9956,9,2
CAMP-00101,Proactive multi-state Internet solution,Email,Brand Awareness,LinkedIn,Enterprise,West,2025-03-09,2025-04-06,28,31875.37,25597.88,387036,20752,5.3618,317,189
CAMP-00102,Business-focused secondary encryption,Influencer,Product Launch,Salesforce,SMB,East,2023-12-05,2024-01-04,30,22168.0,16778.37,6587,4000,60.7257,406,289
CAMP-00103,Face-to-face bifurcated application,Direct Mail,Upsell,Facebook,Mid-Market,Central,2026-06-23,2026-07-10,17,16315.62,12540.68,742569,22842,3.0761,441,368
CAMP-00104,Re-engineered encompassing encoding,Influencer,Brand Awareness,Twitter,SMB,Central,2026-04-14,2026-06-03,50,2083.54,1544.44,430235,29128,6.7703,489,427
CAMP-00105,Cross-platform even-keeled definition,Email,Lead Generation,Twitter,Mid-Market,Central,2023-10-19,2023-11-01,13,46572.14,44436.74,84169,15212,18.0732,302,187
CAMP-00106,Total transitional initiative,Paid Search,Customer Retention,Google Ads,Enterprise,West,2026-03-31,2026-05-04,34,48506.82,47848.62,39618,38043,96.0245,6,1
CAMP-00107,Cross-platform directional superstructure,Direct Mail,Upsell,LinkedIn,Enterprise,North,2024-10-10,2024-12-10,61,2757.55,2497.75,83433,4819,5.7759,497,389
CAMP-00108,Team-oriented encompassing methodology,Direct Mail,Upsell,Facebook,Enterprise,East,2026-01-26,2026-04-21,85,31021.67,21315.96,441211,49254,11.1634,279,183
CAMP-00109,Expanded grid-enabled productivity,Webinar,Upsell,Twitter,SMB,East,2024-03-20,2024-05-12,53,19702.16,12148.92,42992,37954,88.2815,208,124
CAMP-00110,Right-sized executive superstructure,Trade Show,Customer Retention,Marketo,SMB,West,2024-06-18,2024-07-04,16,27563.4,26421.29,547926,45677,8.3363,244,67
CAMP-00111,Enterprise-wide motivating standardization,Email,Product Launch,Twitter,Mid-Market,South,2023-08-11,2023-09-14,34,33279.51,29456.96,35426,24673,69.6466,147,78
CAMP-00112,User-centric fault-tolerant solution,Social Media,Product Launch,Facebook,Mid-Market,West,2025-06-19,2025-07-16,27,17041.63,10293.57,4864,824,16.9408,82,81
CAMP-00113,Intuitive systemic architecture,Direct Mail,Upsell,Marketo,Enterprise,West,2024-04-25,2024-06-21,57,9590.42,6261.43,53067,4107,7.7393,275,130
CAMP-00114,Managed logistical circuit,Direct Mail,Product Launch,Salesforce,SMB,East,2024-02-06,2024-03-12,35,15731.91,16172.49,7414,2193,29.5792,35,0
CAMP-00115,Synchronized methodical interface,Social Media,Lead Generation,Google Ads,Enterprise,East,2026-06-26,2026-08-17,52,12592.12,11567.16,292812,27232,9.3002,491,276
CAMP-00116,Enhanced empowering archive,Paid Search,Upsell,HubSpot,SMB,South,2024-08-07,2024-10-02,56,19932.81,14151.74,1001985,44555,4.4467,69,0
CAMP-00117,Virtual 24/7 policy,Social Media,Product Launch,LinkedIn,Enterprise,West,2024-02-10,2024-03-29,48,42931.89,44234.95,692651,39001,5.6307,44,10
CAMP-00118,Phased optimal ability,Paid Search,Upsell,Google Ads,Enterprise,North,2024-08-27,2024-10-26,60,33716.31,35103.83,203380,9371,4.6076,408,4
CAMP-00119,Fully-configurable methodical budgetary management,Influencer,Customer Retention,Salesforce,Enterprise,West,2025-01-23,2025-03-30,66,49173.52,51384.56,76881,29258,38.0562,355,305
CAMP-00120,Ameliorated non-volatile software,Email,Customer Retention,HubSpot,Enterprise,Central,2023-09-26,2023-12-12,77,802.9,557.63,398383,39945,10.0268,358,86
CAMP-00121,Focused multi-tasking middleware,Trade Show,Product Launch,Google Ads,SMB,North,2026-07-27,2026-10-15,80,45538.11,43780.1,87279,28525,32.6825,351,187
CAMP-00122,Digitized zero-defect attitude,Social Media,Lead Generation,Twitter,SMB,Central,2024-02-07,2024-03-27,49,27736.78,17773.08,1017087,30492,2.998,301,160
CAMP-00123,User-centric full-range knowledge user,Email,Upsell,Twitter,SMB,West,2023-11-25,2023-12-07,12,35587.07,34704.73,484349,31475,6.4984,395,173
CAMP-00124,Monitored needs-based extranet,Trade Show,Brand Awareness,Google Ads,SMB,South,2025-01-26,2025-04-08,72,45476.44,38190.93,45640,20481,44.8751,88,65
CAMP-00125,Function-based high-level knowledgebase,Social Media,Brand Awareness,LinkedIn,Mid-Market,East,2025-08-03,2025-08-30,27,560.35,385.98,128325,8453,6.5872,109,78
CAMP-00126,Multi-channeled exuding strategy,Email,Lead Generation,Twitter,Mid-Market,Central,2023-08-22,2023-10-03,42,14297.86,15637.59,1617398,49206,3.0423,335,108
CAMP-00127,Programmable zero-defect protocol,Email,Brand Awareness,LinkedIn,Mid-Market,West,2024-08-07,2024-10-30,84,35671.74,33907.79,81698,48254,59.0639,344,64
CAMP-00128,Right-sized mission-critical budgetary management,Social Media,Customer Retention,Marketo,Enterprise,East,2026-03-03,2026-04-07,35,42692.58,28403.04,62560,8435,13.4831,224,127
CAMP-00129,Programmable upward-trending productivity,Direct Mail,Lead Generation,Facebook,SMB,Central,2024-05-29,2024-06-21,23,25415.24,20560.02,27556,26043,94.5094,453,24
CAMP-00130,Open-source directional protocol,Trade Show,Brand Awareness,Google Ads,Enterprise,East,2023-08-30,2023-10-05,36,46777.68,38357.0,358804,38409,10.7047,235,91
CAMP-00131,Multi-channeled modular algorithm,Paid Search,Product Launch,Salesforce,SMB,East,2026-07-31,2026-10-29,90,8514.01,7655.01,291288,45043,15.4634,212,174
CAMP-00132,User-centric tangible Internet solution,Influencer,Upsell,Salesforce,Mid-Market,East,2024-05-01,2024-05-28,27,29310.99,31594.12,18260,2011,11.0131,111,15
CAMP-00133,User-friendly background core,Webinar,Lead Generation,HubSpot,Enterprise,North,2024-09-04,2024-11-29,86,19661.42,13391.42,123452,13405,10.8585,290,41
CAMP-00134,Multi-tiered scalable benchmark,Email,Product Launch,Google Ads,SMB,South,2026-05-12,2026-07-09,58,28080.41,22023.11,815599,25872,3.1721,430,213
CAMP-00135,Self-enabling systematic moratorium,Influencer,Customer Retention,Facebook,SMB,East,2026-06-30,2026-07-26,26,4663.58,3992.36,320848,19970,6.2241,201,92
CAMP-00136,Organized multi-tasking conglomeration,Trade Show,Product Launch,Facebook,Enterprise,North,2026-04-18,2026-06-20,63,48282.96,38421.56,248092,12457,5.0211,100,87
CAMP-00137,Synergistic grid-enabled groupware,Influencer,Lead Generation,LinkedIn,Mid-Market,West,2024-05-24,2024-08-21,89,30423.66,20798.75,252810,25353,10.0285,97,16
CAMP-00138,Operative even-keeled function,Paid Search,Brand Awareness,LinkedIn,SMB,Central,2024-10-09,2024-11-17,39,11213.89,9032.43,708725,36459,5.1443,70,43
CAMP-00139,Reduced multi-state standardization,Email,Upsell,Twitter,Enterprise,West,2024-03-03,2024-05-14,72,31993.49,34472.34,1334445,39036,2.9253,273,252
CAMP-00140,Seamless bottom-line Internet solution,Social Media,Upsell,Facebook,Enterprise,West,2024-08-17,2024-10-02,46,45418.27,43402.06,140680,25021,17.7858,336,307
CAMP-00141,Re-contextualized grid-enabled forecast,Social Media,Brand Awareness,Facebook,Enterprise,East,2025-12-25,2026-02-06,43,47388.12,51513.45,271305,23999,8.8458,95,46
CAMP-00142,Advanced modular software,Direct Mail,Customer Retention,Facebook,Mid-Market,South,2023-12-06,2024-01-12,37,4338.64,4135.6,124690,26685,21.4011,187,171
CAMP-00143,Synergized coherent model,Influencer,Customer Retention,Google Ads,Mid-Market,West,2024-01-16,2024-04-04,79,33919.41,28820.97,803573,46768,5.82,407,232
CAMP-00144,Secured next generation secured line,Trade Show,Product Launch,Salesforce,Enterprise,South,2026-07-01,2026-09-01,62,18850.58,15760.86,1677138,47818,2.8512,438,138
CAMP-00145,Pre-emptive executive architecture,Email,Upsell,Facebook,SMB,North,2024-02-02,2024-03-06,33,45344.27,30073.98,47277,1550,3.2785,90,43
CAMP-00146,Advanced logistical analyzer,Webinar,Customer Retention,Salesforce,Mid-Market,West,2025-12-30,2026-03-12,72,4833.15,3725.61,421082,21274,5.0522,389,204
CAMP-00147,Reverse-engineered bottom-line application,Influencer,Upsell,LinkedIn,Mid-Market,West,2024-04-01,2024-04-22,21,42745.7,30766.84,105512,9059,8.5858,232,222
CAMP-00148,Adaptive intermediate help-desk,Social Media,Brand Awareness,Salesforce,Enterprise,South,2025-01-23,2025-03-20,56,6565.72,6610.49,1266473,42741,3.3748,26,21
CAMP-00149,Adaptive actuating extranet,Webinar,Brand Awareness,Marketo,Mid-Market,West,2025-07-30,2025-08-20,21,15399.37,11678.38,78020,3759,4.818,158,54
CAMP-00150,Horizontal zero tolerance middleware,Trade Show,Customer Retention,Google Ads,Enterprise,East,2024-01-05,2024-01-25,20,48072.0,45203.77,304954,45074,14.7806,9,0
CAMP-00151,Visionary next generation collaboration,Influencer,Customer Retention,Marketo,Enterprise,South,2025-08-05,2025-08-22,17,18733.84,16382.58,105443,10351,9.8167,47,35
CAMP-00152,Universal encompassing circuit,Email,Product Launch,Google Ads,SMB,West,2026-06-17,2026-08-27,71,39976.77,29178.28,146521,44580,30.4257,432,348
CAMP-00153,Exclusive intermediate paradigm,Webinar,Product Launch,Twitter,Enterprise,Central,2026-08-02,2026-10-30,89,46721.06,43840.83,139163,22476,16.1508,354,270
CAMP-00154,Implemented directional alliance,Direct Mail,Lead Generation,Salesforce,SMB,North,2026-05-09,2026-07-10,62,20315.1,15479.23,23643,7405,31.3201,96,24
CAMP-00155,Multi-channeled dynamic workforce,Direct Mail,Lead Generation,LinkedIn,Enterprise,West,2025-01-07,2025-02-02,26,40776.73,43476.74,568544,24183,4.2535,32,1
CAMP-00156,Networked interactive initiative,Influencer,Brand Awareness,LinkedIn,Mid-Market,East,2025-08-19,2025-10-26,68,42888.58,29554.12,715809,21057,2.9417,65,8
CAMP-00157,Cross-platform empowering framework,Influencer,Lead Generation,Twitter,Enterprise,East,2026-07-01,2026-09-23,84,15405.63,16697.08,291754,14361,4.9223,354,63
CAMP-00158,Enhanced non-volatile Internet solution,Direct Mail,Lead Generation,HubSpot,SMB,West,2025-05-22,2025-06-23,32,6520.34,5144.82,218614,34054,15.5772,177,89
